NAME;LINK
Pokemon Legends Arceus;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Pokemon%20Legends%20Arceus%20%5B01001F5010DFA000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Pokemon Cafe ReMix;https://cold8.gofile.io/download/direct/9ee80e83-9188-420c-8b6c-6f568773157d/Pokemon%20Cafe%20ReMix%20%5B010072400E04A000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Pokemon HOME;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Pokemon%20HOME%20%5B010015F008C54000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Pokemon Quest;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Pokemon%20Quest%20%5B01005D100807A000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Pokemon Scarlet;https://cold4.gofile.io/download/direct/a94640e1-2879-4074-816a-be136b8aea8b/Pokemon%20Scarlet%20%5B0100A3D008C5C000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Pokemon Shield;https://cold7.gofile.io/download/direct/3ddf21c5-7647-4639-be57-0b34808bf5d7/Pokemon%20Shield%20%5B01008DB008C2C000%5D%2B%5Bv1.3.2%2B2DLC%5D%5BUS%5D(SuperXCI).xci.rar
Pokemon Sword;https://cold8.gofile.io/download/direct/a27892ea-3376-4d5c-9c1f-3b4945089f43/Pokemon%20Sword%20%5B0100ABF008968000%5D%2B%5Bv1.3.2%2B2DLC%5D%5BUS%5D(SuperXCI).xci.rar
Pokemon TV;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Pok%C3%A9mon%20TV%20%5B010009F014D98800%5D%5Bv196608%5D%5BUS%5D.nsp.rar
Pokemon Violet ;https://cold8.gofile.io/download/direct/5a25ea36-58c3-4ca4-9887-12de88c364ac/Pokemon%20Violet%20%5B01008F6008C5E000%5D%5Bv3.0.0%2BDLC%5D%5BUS%5D(SuperXCI).xci.rar
Pikmin 4;https://cold2.gofile.io/download/direct/7b45571c-7b15-45e9-b45c-36bbcff82859/Pikmin%204%20%5B0100B7C00933A000%5D%2B%5Bv1.0.2%5D%5BUS%5D(SuperXCI).xci.rar
Kirby’s Return to Dream Land Deluxe;https://store9.gofile.io/download/direct/5543b6ab-7664-4479-84fe-b6d92bf791ba/Kirby%E2%80%99s%20Return%20to%20Dream%20Land%20Deluxe%20%5B01006B601380E000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Super Kirby Clash;https://archive.org/download/switchgames/Super%20Kirby%20Clash%20%5B01003FB00C5A8000%5D%5Bv1.0.1%5D%5BUS%5D%28SuperXCI%29.xci.rar
Kirby Fighters 2 ;https://drive.google.com/file/d/1EAC1-6QJwzMuf-U7kYhh4Sx2PNXyVGP4/view?usp=sharing
Octopath Traveler;https://archive.org/download/switchgames/Octopath%20Traveler%20%5B010057D006492000%5D%2B%5Bv1.0.5%5D%5BUS%5D%28SuperXCI%29.xci.rar
OCTOPATH TRAVELER II;https://huggingface.co/datasets/luistiagos/switch/resolve/main/OCTOPATH%20TRAVELER%20II%20%5B0100A3501946E000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Disney Epic Mickey Rebrushed;https://archive.org/download/disney-epic-mickey-rebrushed-nsp/Disney%20Epic%20Mickey%20Rebrushed%20%5BNSP%5D.rar
Teenage Mutant Ninja Turtles Splintered Fate;https://archive.org/download/teenage-mutant-ninja-turtles-splintered-fate-nsz/Teenage%20Mutant%20Ninja%20Turtles%20Splintered%20Fate%20%5BNSZ%5D.rar
Snipperclips;https://archive.org/download/switchgames/Splatoon%202%20%5B01003BC0000A0000%5D%20%5Bv3276800%5D%5Bv5.5.1%2B5DLC%5D%5BUS%5D%28SuperXCI%29.xci.rar
Elrentaros Wanderings;https://archive.org/download/elrentaros-wanderings-01005-fe-01-e-170000v-0-us.nsp/Elrentaros%20Wanderings%20%5B01005FE01E170000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Bloodstained Ritual of the Night;https://cold8.gofile.io/download/direct/17941a7e-73a5-4038-9971-65b183070f55/Bloodstained%20Ritual%20of%20the%20Night%20%5B0100BF500207C800%5D%5Bv786432%5D%5BUS%5D.nsp.rar
Mameda No Bakeru;https://archive.org/download/mameda-no-bakeru-jap-nsz/Mameda%20no%20Bakeru%20%28JAP%29%20%5BNSZ%5D.rar
Witch Spring R;https://archive.org/download/witch-spring-r-nsz/Witch%20Spring%20R%20%5BNSZ%5D.rar
Lollipop Chainsaw Re Pop;https://archive.org/download/lollipop-chainsaw-re-pop-nsz/Lollipop%20Chainsaw%20RePop%20%5BNSZ%5D.rar
Minecraft ;https://archive.org/download/minecraft-nsp/Minecraft%20%5BNSP%5D.rar
Tomb Raider I II III Remastered Starring Lara Croft;https://archive.org/download/tomb-raider-i-ii-iii-remastered-starring-lara-croft-nsz/Tomb%20Raider%20I-II-III%20Remastered%20Starring%20Lara%20Croft%20%5BNSZ%5D.rar
Castlevania Dominus Collection [ NSP] Castlevania Dominus Collection;https://archive.org/download/castlevania-dominus-collection-nsp-castlevania-dominus-collection-0100-fa-501-af-90000v-0/Castlevania%20Dominus%20Collection%20%5BNSP%5DCastlevania%20Dominus%20Collection%20%5B0100FA501AF90000%5D%5Bv0%5D.nsp
Marvel Vs Capcom Fighting Collection Arcade Classics;https://archive.org/download/marvel-vs-capcom-fighting-collection-arcade-classics-nsp/Marvel%20vs%20Capcom%20Fighting%20Collection%20Arcade%20Classics%20%5BNSP%5D.rar
The Karate Kid Street Rumble;https://archive.org/download/the-karate-kid-street-rumble-nsz/The%20Karate%20Kid%20Street%20Rumble%20%5BNSZ%5D.rar
4×4 Dirt Track Switch NSP XCI Base;https://drive.google.com/file/d/1rlBWmmgtucPSW8yd-KOtjazszn7JJspO/view?usp=sharing
Diablo III Eternal Collection;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Diablo%20III%20Eternal%20Collection.xci.rar
Metroid Dread;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Metroid%20Dread%20%5B010093801237C800%5D%5Bv327680%5D%5BUS%5D.nsp.rar
Metroid Prime REMASTERED;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Metroid%20Prime%20REMASTERED%20%5B010012101468C000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Amedama;https://huggingface.co/datasets/luistiagos/switch/resolve/main/AMEDAMA.rar
LIMBO;https://huggingface.co/datasets/luistiagos/switch/resolve/main/LIMBO.nsp
Shantae Half Genie Hero Ultimate_Edition;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Shantae_-_Half-Genie_Hero_-_Ultimate_Edition_(USA%2C_Europe)_(En%2CFr%2CDe%2CEs%2CIt)_%5BTrimmed%5D.xci
Basureroes Invasion;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Basureroes%20Invasion%20%5B010040901F602000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Crush Your Enemies;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Crush%20Your%20Enemies%20%5B01005F900902A000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Dragon Takers;https://huggingface.co/datasets/luistiagos/switch/resolve/main/Our%20Field%20Trip%20Adventure%20%5B010069901E7E2000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Star Wars Episode I Jedi Power Battles;https://huggingface.co/datasets/luistiagos/switch/resolve/ed9230fe7b8988dbae920d809f5509e82124f1a8/Star%20Wars%20Episode%20I%20Jedi%20Power%20Battles%20%5B010065201B916000%5D%5Bv0%5D%5BUS%5D.nsp.rar
EA SPORTS FC 25 ;https://huggingface.co/datasets/luistiagos/switch/resolve/main/EA%20SPORTS%20FC%2025%20%5B010054E01D878000%5D%5Bv0%5D%5BUS%5D.nsp.rar
EA SPORTS FC 24;https://huggingface.co/datasets/luistiagos/switch/resolve/main/EA%20SPORTS%20FC%2024%20%5B0100BDB01A0E6000%5D%5Bv0%5D%5BUS%5D(Dumped).xci.rar
Angelian Trigger;https://huggingface.co/datasets/luistiagos/switch/resolve/3e4d35a38d10c9051638bbb600c85294d61a94230/Angelian%20Trigger%20%5B01002A6011B2C000%5D%5Bv0%5D%5BJP%5D.nsp.rar
Atelier Sophie The Alchemist of the Mysterious Book DX patched;https://huggingface.co/datasets/luistiagos/switch/resolve/3e4d35a38d10c9051638bbb600c85294d61a94230/Atelier%20Sophie%20The%20Alchemist%20of%20the%20Mysterious%20Book%20DX%20%5B0100D8701421C000%5D%2B%5Bv1.0.1%5D_patched.xci.rar
Bakusou Jigen Neptunia vs;https://huggingface.co/datasets/luistiagos/switch/resolve/3e4d35a38d10c9051638bbb600c85294d61a94230/Bakusou%20Jigen%20Neptunia%20vs.%20Giant%20God%20Slyne%20%5B0100F8601DA50000%5D%5Bv0%5D%5BJP%5D%28Dumped%29.xci.rar
Basureroes Invasion;https://huggingface.co/datasets/luistiagos/switch/resolve/3e4d35a38d10c9051638bbb600c85294d61a94230/Basureroes%20Invasion%20%5B010040901F602000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Beyond Good and Evil 20th Anniversary Edition;https://huggingface.co/datasets/luistiagos/switch/resolve/3e4d35a38d10c9051638bbb600c85294d61a94230/Beyond%20Good%20and%20Evil%2020th%20Anniversary%20Edition%20%5B0100E0A01DD20000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Blazing Strike;https://huggingface.co/datasets/luistiagos/switch/resolve/3e4d35a38d10c9051638bbb600c85294d61a94230/Blazing%20Strike%20%5B010015201EA92000%5D%5Bv0%5D%5BUS%5D.nsp.rar
Buddy Mission BOND;https://huggingface.co/datasets/luistiagos/switch/resolve/3e4d35a38d10c9051638bbb600c85294d61a94230/Buddy%20Mission%20BOND%20%5B0100DB300B996000%5D%5Bv0%5D%5BJP%5D.nsp.rar
Captain Toad Treasure Tracker;https://huggingface.co/datasets/luistiagos/switch/resolve/3e4d35a38d10c9051638bbb600c85294d61a94230/Captain%20Toad%20Treasure%20Tracker%20%5B01009BF0072D4000%5D%5Bv0%5D%5BUS%5D.nsp.rar
CardenCiel;https://huggingface.co/datasets/luistiagos/switch/resolve/3e4d35a38d10c9051638bbb600c85294d61a94230/Card-en-Ciel%20%5B0100E6B01BD3A000%5D%5Bv0%5D%5BUS%5D.nsp.rar
